Time(s),X(m),Y(m),Z(m)
0.0000,2.0000,2.0000,1.0000
0.0279,2.1261,1.9900,1.0095
0.0557,2.2355,1.9895,1.0175
0.0836,2.3291,1.9979,1.0238
0.1115,2.4083,2.0145,1.0288
0.1394,2.4742,2.0386,1.0325
0.1672,2.5279,2.0695,1.0351
0.1951,2.5708,2.1066,1.0366
0.2230,2.6039,2.1490,1.0372
0.2509,2.6285,2.1962,1.0370
0.2787,2.6457,2.2475,1.0362
0.3066,2.6567,2.3022,1.0348
0.3345,2.6626,2.3595,1.0329
0.3624,2.6648,2.4188,1.0308
0.3902,2.6643,2.4795,1.0285
0.4181,2.6624,2.5408,1.0261
0.4460,2.6601,2.6020,1.0238
0.4739,2.6588,2.6624,1.0216
0.5017,2.6596,2.7215,1.0198
0.5296,2.6637,2.7784,1.0183
0.5575,2.6722,2.8325,1.0175
0.5854,2.6863,2.8831,1.0173
0.6132,2.7072,2.9295,1.0178
0.6411,2.7349,2.9720,1.0193
0.6690,2.7680,3.0115,1.0217
0.6969,2.8054,3.0489,1.0252
0.7247,2.8459,3.0854,1.0298
0.7526,2.8882,3.1218,1.0356
0.7805,2.9311,3.1593,1.0427
0.8084,2.9733,3.1987,1.0511
0.8362,3.0135,3.2411,1.0610
0.8641,3.0506,3.2874,1.0725
0.8920,3.0833,3.3388,1.0855
0.9199,3.1105,3.3959,1.1001
0.9477,3.1318,3.4578,1.1155
0.9756,3.1473,3.5228,1.1306
1.0035,3.1569,3.5891,1.1443
1.0314,3.1606,3.6550,1.1554
1.0592,3.1585,3.7188,1.1629
1.0871,3.1505,3.7788,1.1657
1.1150,3.1367,3.8332,1.1625
1.1429,3.1171,3.8802,1.1524
1.1707,3.0916,3.9183,1.1341
1.1986,3.0603,3.9456,1.1067
1.2265,3.0238,3.9620,1.0702
1.2544,2.9839,3.9716,1.0284
1.2822,2.9428,3.9789,0.9854
1.3101,2.9026,3.9885,0.9453
1.3380,2.8655,4.0049,0.9123
1.3659,2.8334,4.0323,0.8899
1.3937,2.8071,4.0707,0.8784
1.4216,2.7872,4.1183,0.8762
1.4495,2.7739,4.1731,0.8818
1.4774,2.7676,4.2333,0.8934
1.5052,2.7686,4.2969,0.9096
1.5331,2.7773,4.3622,0.9288
1.5610,2.7941,4.4271,0.9494
1.5889,2.8193,4.4899,0.9699
1.6167,2.8533,4.5486,0.9886
1.6446,2.8965,4.6014,1.0040
1.6725,2.9474,4.6472,1.0152
1.7004,3.0002,4.6877,1.0233
1.7282,3.0478,4.7247,1.0296
1.7561,3.0833,4.7603,1.0356
1.7840,3.1000,4.7964,1.0426
1.8119,3.0919,4.8349,1.0520
1.8397,3.0631,4.8761,1.0637
1.8676,3.0230,4.9198,1.0774
1.8955,2.9810,4.9654,1.0925
1.9234,2.9466,5.0126,1.1085
1.9512,2.9290,5.0611,1.1248
1.9791,2.9324,5.1102,1.1411
2.0070,2.9530,5.1588,1.1573
2.0349,2.9866,5.2061,1.1731
2.0627,3.0286,5.2509,1.1885
2.0906,3.0750,5.2922,1.2032
2.1185,3.1220,5.3291,1.2173
2.1464,3.1692,5.3609,1.2305
2.1742,3.2173,5.3869,1.2429
2.2021,3.2666,5.4065,1.2545
2.2300,3.3176,5.4192,1.2651
2.2579,3.3709,5.4244,1.2748
2.2857,3.4259,5.4236,1.2842
2.3136,3.4817,5.4199,1.2941
2.3415,3.5372,5.4164,1.3055
2.3694,3.5913,5.4162,1.3193
2.3972,3.6429,5.4224,1.3366
2.4251,3.6915,5.4366,1.3576
2.4530,3.7374,5.4577,1.3818
2.4809,3.7814,5.4837,1.4084
2.5087,3.8239,5.5130,1.4365
2.5366,3.8656,5.5438,1.4653
2.5645,3.9071,5.5743,1.4941
2.5924,3.9490,5.6028,1.5220
2.6202,3.9919,5.6276,1.5481
2.6481,4.0363,5.6470,1.5718
2.6760,4.0829,5.6590,1.5922
2.7039,4.1322,5.6623,1.6086
2.7317,4.1841,5.6569,1.6207
2.7596,4.2382,5.6447,1.6292
2.7875,4.2938,5.6275,1.6346
2.8154,4.3503,5.6072,1.6373
2.8432,4.4072,5.5856,1.6378
2.8711,4.4638,5.5645,1.6367
2.8990,4.5197,5.5458,1.6344
2.9269,4.5742,5.5314,1.6315
2.9547,4.6268,5.5230,1.6284
2.9826,4.6769,5.5225,1.6256
3.0105,4.7239,5.5313,1.6236
3.0384,4.7681,5.5493,1.6225
3.0662,4.8097,5.5755,1.6221
3.0941,4.8490,5.6089,1.6224
3.1220,4.8864,5.6486,1.6234
3.1499,4.9220,5.6938,1.6251
3.1777,4.9563,5.7435,1.6272
3.2056,4.9894,5.7967,1.6299
3.2335,5.0218,5.8527,1.6330
3.2614,5.0537,5.9103,1.6365
3.2892,5.0855,5.9689,1.6403
3.3171,5.1173,6.0273,1.6443
3.3450,5.1495,6.0847,1.6486
3.3729,5.1825,6.1402,1.6530
3.4007,5.2164,6.1929,1.6575
3.4286,5.2517,6.2418,1.6620
3.4565,5.2886,6.2861,1.6665
3.4844,5.3274,6.3248,1.6709
3.5122,5.3684,6.3569,1.6751
3.5401,5.4119,6.3817,1.6792
3.5680,5.4582,6.3981,1.6830
3.5959,5.5076,6.4053,1.6865
3.6237,5.5599,6.4041,1.6896
